GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
faktury,org.lukasz.faktury.items.dto,InvoiceItemsDto,24,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.items.dto,NettoToBrutto,6,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.items.dto,BruttoToNetto,6,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.items.dto,CalculateTotalValue,6,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.items.dto,ReduceTotalValues,6,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.utils.confirmationtoken.activationtoken,TokenController,26,9,0,0,6,4,3,1,3,1
faktury,org.lukasz.faktury.utils.confirmationtoken.activationtoken,ActivationEmailSenderServiceImpl,39,10,0,0,10,4,1,1,1,1
faktury,org.lukasz.faktury.utils.confirmationtoken.activationtoken,ActivationTokenServiceImpl,128,16,4,0,28,6,6,1,4,1
faktury,org.lukasz.faktury.utils.confirmationtoken.activationtoken,ActivationToken,35,6,0,0,15,3,10,1,10,1
faktury,org.lukasz.faktury.utils.confirmationtoken.resetpasswordtoken.dto,ConfirmPassword,12,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.utils.confirmationtoken.resetpasswordtoken.dto,ResetPasswordDto,12,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.utils.confirmationtoken.resetpasswordtoken,ResetPasswordServiceImpl,195,22,8,0,36,8,11,1,7,1
faktury,org.lukasz.faktury.utils.confirmationtoken.resetpasswordtoken,ResetPasswordMapper,18,3,0,0,5,1,1,1,1,1
faktury,org.lukasz.faktury.utils.confirmationtoken.resetpasswordtoken,ChangePassword,35,3,0,0,15,2,10,1,10,1
faktury,org.lukasz.faktury.utils.confirmationtoken.resetpasswordtoken,ResetPasswordEmailSenderServiceImpl,39,10,0,0,10,4,1,1,1,1
faktury,org.lukasz.faktury.invoices.dto,InvoicesPdf,15,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.invoices.dto,InvoicesNumber,6,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.invoices.dto,CalculatePaymentDate,6,0,0,0,1,0,1,0,1,0
faktury,org.lukasz.faktury.invoices.dto,InvoicesDtoRequest,12,0,0,0,1,0,1,0,1,0
